0.085649,0.078611,0.080970,0.077095,0.075796,0.079866,0.072973,0.069726,0.067628,0.059407,0.052397,0.047136,0.043561,0.037897,0.031095,0.030505,0.021667,0.019558,0.012672,0.009008,0.005644,
0.086904,0.080471,0.078690,0.081718,0.077864,0.076864,0.070772,0.067459,0.064385,0.057456,0.054998,0.048773,0.045018,0.037446,0.031172,0.027909,0.023446,0.019870,0.013094,0.009120,0.005398,
0.088873,0.080777,0.078715,0.079680,0.076872,0.074459,0.070713,0.066875,0.062124,0.055985,0.055153,0.047609,0.043961,0.037474,0.032289,0.028825,0.023608,0.020000,0.014481,0.009665,0.006117,
0.086139,0.081615,0.079405,0.079367,0.077074,0.074850,0.070256,0.067079,0.062724,0.057679,0.054976,0.048493,0.044096,0.038870,0.035159,0.030625,0.025962,0.022434,0.015884,0.010651,0.007208,
0.083412,0.081282,0.079124,0.078689,0.075424,0.073668,0.069718,0.067123,0.063379,0.058937,0.055954,0.050045,0.045621,0.040200,0.037542,0.033498,0.028726,0.024768,0.018311,0.012131,0.007896,
0.085781,0.081604,0.079326,0.079029,0.075048,0.073738,0.069949,0.066244,0.063439,0.058657,0.056881,0.051744,0.048426,0.042453,0.040079,0.036507,0.032503,0.027843,0.021508,0.014288,0.009031,
0.083949,0.081789,0.078150,0.077916,0.075230,0.073916,0.070648,0.066672,0.064890,0.059385,0.058342,0.054118,0.051356,0.046568,0.044307,0.041436,0.037669,0.033112,0.025676,0.017161,0.010639,
0.083694,0.082006,0.078297,0.077264,0.075367,0.073761,0.071960,0.066953,0.065571,0.060319,0.060653,0.057810,0.055848,0.051609,0.049632,0.048016,0.044408,0.039566,0.031695,0.020634,0.012794,
0.082253,0.081131,0.079444,0.077060,0.076169,0.072998,0.073656,0.068871,0.066975,0.062997,0.062524,0.061987,0.061948,0.057847,0.058196,0.057002,0.054289,0.049023,0.039366,0.025017,0.015217,
0.077607,0.081528,0.080716,0.076069,0.077431,0.074082,0.074676,0.070935,0.070406,0.067761,0.067412,0.068611,0.068377,0.066597,0.068675,0.070342,0.068042,0.062940,0.050145,0.031357,0.018311,
0.075929,0.079900,0.081573,0.075995,0.077241,0.075660,0.076446,0.073743,0.073999,0.073266,0.074678,0.078320,0.080039,0.080032,0.084552,0.088950,0.088902,0.082877,0.066087,0.040695,0.022734,
0.077842,0.078291,0.080844,0.077306,0.077930,0.078560,0.078423,0.078125,0.079921,0.081195,0.085813,0.090198,0.094758,0.099097,0.106360,0.115396,0.117198,0.109175,0.086915,0.052535,0.026283,
0.076735,0.076960,0.079608,0.079870,0.079266,0.081367,0.081897,0.084383,0.088522,0.092764,0.100526,0.107958,0.115032,0.124843,0.140515,0.152512,0.159834,0.146286,0.115941,0.066734,0.032152,
0.078497,0.077568,0.079463,0.082885,0.082493,0.085837,0.087930,0.090883,0.098474,0.108975,0.116098,0.132021,0.145353,0.162898,0.185395,0.206129,0.217550,0.207761,0.152251,0.083527,0.037509,
0.070040,0.080723,0.082212,0.085005,0.084521,0.087722,0.096175,0.100232,0.113759,0.131364,0.141792,0.161309,0.185426,0.216504,0.254856,0.281461,0.306505,0.280515,0.204395,0.095870,0.043310,
