TA,1477488477_1,
TA,1477488622_1,
TA,1477488820_1,
TA,1477488956_1,
TA,1477489267_1,
TA,1477489406_1,
TA,1477489606_1,
TA,1477489741_1,
TA,1477489943_1,
TA,1477490081_1,
TA,1477490280_1,
TA,1477490431_1,
TA,1477490625_1,
TA,1477490810_1,
TA,1477491859_1,
TB,1481616395_1,
TB,1481616614_1,
TB,1481616786_1,
TB,1481617040_1,
TB,1481617259_1,
TB,1481617473_1,
TB,1481617709_1,
TB,1481617957_1,
TB,1481618188_1,
TB,1481618418_1,
TB,1481618592_1,
TB,1481618830_1,
TB,1481619244_1,
TB,1481619484_1,
TB,1481619743_1,
TB,1481619983_1,
TB,1481620679_1,
TB,1481622064_1,
TB,1481622301_1,
TB,1481622539_1,
TB,1481622739_1,
TB,1481622957_1,
TB,1481623188_1,
TB,1481623711_1,
TB,1481623853_1,
TB,1481624032_1,
TB,1481624171_1,
TB,1481624349_1,
TB,1481624482_1,
TB,1481624672_1,
TB,1481624812_1,
TB,1481624991_1,
TB,1481625137_1,
TB,1481625558_1,
TB,1481625703_1,
TB,1481625847_1,
TB,1481625997_1,
TB,1481626149_1,
TB,1481626319_1,
TB,1481626515_1,
TB,1481626725_1,
TB,1481626923_1,
TB,1481627074_1,
TB,1481627451_1,
TB,1481627653_1,
TB,1481627806_1,
TB,1481628008_1,
TB,1481628172_1,
TB,1481628365_1,
TB,1481628542_1,
TB,1481628751_1,
TB,1481629094_1,
TB,1481629409_1,
TB,1481629719_1,
TB,1481634623_1,
TB,1481637048_1,
T3,1487139323_1,
T3,1487139370_1,
T3,1487139717_1,
T3,1487139764_1,
T3,1487140595_1,
T3,1487140810_1,
T4,1490990831_1,
T4,1490991359_4,
T5,1492361946_1,
T5,1492362489_1,
T5,1492363091_1,
T5,1492363683_1,
T5,1492364272_1,
T5,1492364864_1,
T5,1492365464_1,
T5,1492366053_1,
T5,1492366621_1,
T5,1492367246_3,
T9,1514299543_1,
T9,1514299573_1,
T9,1514299671_1,
T9,1514299740_1,
T9,1514299908_1,
T9,1514299938_1,
T9,1514300036_1,
T9,1514300105_1,
T9,1514300263_1,
T9,1514300391_1,
T9,1514300653_1,
T9,1514300683_1,
T9,1514300781_1,
T9,1514300850_1,
T9,1514301073_1,
T9,1514301240_1,
T9,1514301398_1,
T9,1514301428_1,
T9,1514301526_1,
T9,1514301595_1,
T9,1514301788_1,
T9,1514301818_1,
T9,1514301916_1,
T9,1514301985_1,
T9,1514304423_1,
T9,1514305926_1,
T9,1514309549_1,
T9,1514310267_1,
T9,1514313117_1,
T9,1514313835_1,
T9,1514315553_1,
T9,1514315913_1,
T9,1514316735_1,
T9,1514317135_1,
T9,1514319121_1,
T9,1514320339_1,
T9,1514320699_1,
