,4.580,0.021,4.531,0.021,
,4.559,0.031,4.402,0.046,
,4.538,0.025,4.452,0.031,
,4.531,0.026,4.531,0.026,
,4.574,0.010,4.519,0.013,
,4.507,0.014,4.447,0.017,
,4.490,0.014,4.336,0.020,
,4.521,0.003,4.525,0.003,
,4.508,0.007,4.412,0.005,
,4.487,0.008,4.459,0.008,
,4.491,0.007,4.483,0.007,
,4.507,0.007,4.502,0.008,
,4.504,0.005,4.458,0.005,
,4.477,0.007,4.411,0.007,
,4.459,0.008,4.442,0.009,
,4.417,0.027,4.376,0.024,
,4.452,0.008,4.440,0.007,
,4.417,0.005,4.352,0.006,
,4.426,0.005,4.211,0.011,
,4.336,0.006,4.356,0.023,
,4.446,0.016,4.423,0.016,
,4.377,0.009,4.354,0.010,
,4.279,0.023,4.230,0.025,
,4.332,0.020,4.342,0.020,
,4.258,0.012,4.233,0.013,
,4.255,0.012,4.250,0.012,
,4.230,0.020,4.179,0.020,
,4.220,0.005,4.183,0.003,
,4.196,0.014,4.188,0.014,
,4.228,0.013,4.210,0.013,
,3.657,0.008,3.624,0.008,
,4.179,0.014,4.169,0.014,
,3.754,0.008,3.695,0.008,
,3.692,0.007,3.667,0.006,
,3.778,0.012,3.708,0.010,
,4.169,0.013,4.041,0.024,
,3.740,0.007,3.706,0.007,
,4.158,0.024,4.079,0.022,
,3.823,0.008,3.697,0.006,
,3.787,0.011,3.713,0.010,
,4.045,0.012,4.015,0.012,
,4.066,0.010,4.041,0.010,
,3.787,0.011,3.783,0.011,
,3.699,0.006,3.702,0.009,
,3.698,0.007,3.699,0.007,
,3.724,0.007,3.653,0.006,
,4.090,0.008,3.885,0.008,
,3.681,0.009,3.682,0.009,
,3.705,0.009,3.673,0.007,
,3.719,0.005,3.734,0.009,
,4.029,0.020,4.017,0.021,
,4.019,0.012,3.944,0.015,
,4.010,0.004,3.997,0.014,
,4.114,0.010,3.954,0.007,
,3.721,0.006,3.704,0.007,
,3.720,0.005,3.671,0.009,
,3.712,0.008,3.663,0.008,
,3.724,0.006,3.721,0.007,
,4.02,0.02,4.02,0.02,
,4.054,0.010,4.052,0.009,
,4.033,0.032,3.991,0.022,
,4.008,0.010,4.008,0.010,
,3.710,0.007,3.705,0.007,
,3.732,0.008,3.701,0.008,
,3.673,0.006,3.678,0.006,
,3.724,0.008,3.684,0.008,
,3.985,0.011,3.952,0.012,
,3.926,0.005,3.867,0.006,
,3.744,0.008,3.695,0.009,
,3.745,0.008,3.712,0.008,
,4.039,0.012,4.015,0.013,
,3.911,0.012,3.949,0.012,
,4.017,0.017,3.857,0.018,
,3.895,0.028,3.924,0.026,
,3.751,0.009,3.747,0.009,
,3.719,0.007,3.673,0.008,
,3.965,0.007,3.932,0.006,
,3.971,0.009,3.964,0.009,
,3.766,0.007,3.723,0.015,
,3.998,0.009,3.998,0.009,
,4.027,0.008,4.015,0.008,
,3.917,0.008,3.929,0.008,
,3.875,0.017,3.892,0.017,
,3.911,0.008,3.900,0.008,
,4.009,0.004,3.885,0.005,
,3.720,0.008,3.721,0.008,
,3.979,0.005,3.838,0.015,
,3.903,0.011,3.911,0.011,
,3.829,0.010,3.789,0.011,
,3.914,0.008,3.908,0.008,
,3.685,0.006,3.674,0.007,
,3.945,0.017,3.931,0.017,
,3.944,0.010,3.920,0.010,
,3.966,0.007,3.883,0.010,
,3.982,0.014,3.959,0.014,
,3.689,0.004,3.691,0.005,
,3.982,0.018,3.935,0.015,
,3.964,0.005,3.958,0.005,
,3.940,0.010,3.810,0.020,
,3.955,0.007,3.930,0.008,
,3.978,0.009,3.978,0.009,
,3.693,0.003,3.803,0.005,
,3.960,0.007,3.892,0.006,
,3.679,0.012,3.680,0.016,
,3.954,0.010,3.756,0.015,
,3.961,0.014,3.959,0.014,
,3.923,0.008,3.911,0.008,
,3.813,0.013,3.822,0.013,
,3.903,0.011,3.843,0.013,
,3.978,0.009,3.806,0.014,
,3.901,0.024,3.885,0.024,
,3.893,0.006,3.870,0.007,
,3.886,0.006,3.856,0.014,
,3.890,0.012,3.856,0.012,
,3.914,0.004,3.695,0.018,
,3.922,0.007,3.916,0.007,
,3.860,0.015,3.869,0.020,
,3.947,0.010,3.937,0.010,
,3.833,0.004,3.820,0.005,
,3.819,0.015,3.825,0.015,
,3.889,0.006,3.860,0.007,
,3.906,0.010,3.886,0.010,
,3.691,0.007,3.655,0.007,
,3.666,0.008,3.673,0.009,
,3.836,0.008,3.816,0.008,
,3.685,0.009,3.642,0.011,
,3.851,0.012,3.847,0.012,
,3.923,0.004,3.913,0.004,
,3.693,0.009,3.648,0.007,
,3.880,0.009,3.879,0.009,
,3.896,0.006,3.882,0.007,
,3.829,0.007,3.842,0.006,
,3.90,0.03,3.82,0.04,
,3.843,0.003,3.835,0.002,
,3.852,0.007,3.835,0.007,
,3.716,0.008,3.708,0.009,
,3.879,0.009,3.886,0.008,
,3.821,0.013,3.801,0.014,
,3.870,0.025,3.870,0.022,
,3.849,0.009,3.796,0.014,
,3.870,0.015,3.844,0.016,
,3.854,0.006,3.664,0.009,
,3.848,0.011,3.782,0.050,
,3.651,0.007,3.654,0.007,
,3.868,0.005,3.851,0.007,
,3.865,0.005,3.790,0.005,
,3.876,0.006,3.845,0.006,
,3.827,0.006,3.816,0.007,
,3.803,0.010,3.808,0.010,
,3.886,0.008,3.854,0.006,
,3.811,0.009,3.802,0.009,
,3.835,0.006,3.817,0.006,
,3.840,0.019,3.841,0.019,
,3.839,0.006,3.833,0.006,
,3.827,0.006,3.825,0.006,
,3.862,0.009,3.797,0.012,
,3.843,0.006,3.857,0.012,
,3.827,0.004,3.760,0.007,
,3.851,0.006,3.780,0.005,
,3.851,0.010,3.843,0.010,
,3.810,0.010,3.810,0.010,
,3.690,0.018,3.650,0.015,
,3.656,0.007,3.767,0.015,
,3.834,0.010,3.861,0.026,
,3.791,0.007,3.603,0.018,
,3.842,0.009,3.809,0.009,
,3.667,0.007,3.636,0.007,
,3.792,0.007,3.790,0.007,
,3.834,0.006,3.834,0.006,
,3.663,0.008,3.783,0.014,
,3.813,0.007,3.813,0.007,
,3.806,0.007,3.640,0.011,
,3.682,0.012,3.645,0.008,
,3.835,0.003,3.817,0.003,
,3.809,0.014,3.813,0.013,
,3.792,0.004,3.792,0.004,
,3.686,0.006,3.679,0.006,
,3.847,0.014,3.825,0.015,
,3.809,0.002,3.834,0.002,
,3.851,0.004,3.837,0.004,
,3.822,0.005,3.819,0.025,
,3.835,0.010,3.831,0.007,
,3.797,0.006,3.801,0.006,
,3.818,0.008,3.789,0.008,
,3.803,0.011,3.806,0.010,
,3.813,0.011,3.816,0.019,
,3.800,0.003,3.795,0.005,
,3.824,0.010,3.757,0.009,
,3.819,0.004,3.651,0.007,
,3.661,0.007,3.765,0.015,
,3.679,0.009,3.820,0.010,
,3.782,0.011,3.760,0.011,
,3.782,0.014,3.782,0.014,
,3.708,0.009,3.673,0.009,
,3.810,0.007,3.802,0.007,
,3.821,0.013,3.818,0.015,
,3.815,0.009,3.813,0.009,
,3.817,0.006,3.678,0.013,
,3.808,0.007,3.802,0.007,
,3.830,0.003,3.568,0.037,
,3.815,0.005,3.817,0.004,
,3.762,0.008,3.710,0.009,
,3.793,0.008,3.777,0.008,
,3.817,0.014,3.758,0.018,
,3.829,0.007,3.829,0.007,
,3.808,0.006,3.657,0.015,
,3.806,0.004,3.805,0.004,
,3.810,0.003,3.801,0.003,
,3.818,0.006,3.808,0.004,
,3.801,0.003,3.785,0.003,
,3.822,0.005,3.821,0.005,
,3.788,0.009,3.790,0.009,
,3.813,0.013,3.806,0.013,
,3.794,0.003,3.703,0.015,
,3.791,0.007,3.724,0.012,
,3.716,0.013,3.778,0.011,
,3.827,0.010,3.817,0.011,
,3.817,0.010,3.813,0.010,
,3.814,0.003,3.810,0.013,
,3.809,0.010,3.799,0.010,
,3.810,0.005,3.788,0.005,
,3.831,0.010,3.701,0.013,
,3.755,0.008,3.757,0.008,
,3.8129,0.0033,3.8062,0.0034,
,3.752,0.006,3.756,0.006,
,3.813,0.003,3.777,0.005,
,3.798,0.012,3.748,0.012,
,3.789,0.006,3.715,0.009,
,3.782,0.007,3.777,0.007,
,3.795,0.006,3.775,0.011,
,3.790,0.007,3.786,0.007,
,3.815,0.015,3.815,0.015,
,3.792,0.007,3.789,0.007,
,3.793,0.007,3.761,0.009,
,3.796,0.008,3.740,0.019,
,3.784,0.003,3.756,0.004,
,3.764,0.018,3.782,0.017,
,3.792,0.002,3.707,0.002,
,3.793,0.011,3.780,0.011,
,3.778,0.005,3.777,0.005,
,3.687,0.007,3.794,0.009,
,3.783,0.007,3.771,0.007,
,3.653,0.008,3.785,0.010,
,3.804,0.004,3.745,0.005,
,3.781,0.005,3.778,0.005,
,3.748,0.005,3.749,0.005,
,3.801,0.003,3.732,0.006,
,3.632,0.019,3.583,0.021,
,3.797,0.003,3.795,0.007,
,3.775,0.005,3.722,0.007,
,3.771,0.007,3.767,0.007,
,3.778,0.011,3.770,0.011,
,3.788,0.007,3.653,0.010,
,3.785,0.007,3.673,0.010,
,3.771,0.007,3.769,0.007,
,3.782,0.005,3.782,0.005,
,3.773,0.005,3.767,0.005,
,4.251,0.017,4.967,0.016,
,3.767,0.007,3.756,0.008,
,3.625,0.014,3.599,0.013,
,3.775,0.009,3.745,0.012,
,3.752,0.007,3.683,0.013,
,3.764,0.004,3.765,0.005,
,3.825,0.006,3.784,0.006,
,3.773,0.007,3.769,0.007,
,3.628,0.042,3.600,0.027,
,3.771,0.006,3.699,0.009,
,3.772,0.009,3.768,0.010,
,3.763,0.010,3.759,0.011,
