System,Mass1,Error,Mass2,Error,Radius1,Error,Radius2,Error,SOURCE:https://www.astro.keele.ac.uk/jkt/debcat/
OGLE-LMC-ECL-09678,2.4,0.02,2.549,0.031,13.77,0.1,30.6,0.28,
V39 Cas,2.398,0.02,1.901,0.016,2.592,0.01,1.779,0.01,
β Aur,2.376,0.02,2.291,0.027,2.762,0.01,2.568,0.017,
OGLE-SMC-ECL-3529,2.36,0,2.48,0.05,12.6,0,21.1,0.3,
GG Ori,2.342,0.01,2.338,0.017,1.852,0.02,1.83,0.025,
V54 Cyg,2.335,0.01,2.26,0.015,1.859,0.01,1.808,0.014,
V36 Lac,2.333,0.01,2.296,0.025,3.307,0.03,2.985,0.035,
SZ Cen,2.317,0.02,2.277,0.021,4.554,0.03,3.624,0.026,
V62 Her,2.282,0.01,1.881,0.013,3.03,0.03,2.209,0.034,
V122 Tau,2.273,0.01,1.595,0.008,1.799,0.01,1.41,0.021,
OGLE-SMC-ECL-0439,2.27,0,2.29,0.03,14.5,0,15.4,0.5,
YZ Cas,2.263,0.01,1.325,0.007,2.525,0.01,1.331,0.006,
OT And,2.253,0.01,2.147,0.011,3.167,0.01,2.649,0.015,
CoRoT 105906206,2.25,0,1.29,0.03,4.24,0,1.34,0.01,
SW CMa,2.239,0.01,2.104,0.018,3.014,0.02,2.495,0.042,
OGLE-LMC-ECL-25658,2.231,0.02,2.23,0.023,21.4,0.1,27.61,0.19,
GZ CMa,2.206,0.01,2.005,0.018,2.492,0.03,2.131,0.037,
EG Ser,2.2,0,1.99,0.05,1.761,0.01,1.634,0.013,
PT Vel,2.198,0.01,1.626,0.009,2.094,0.02,1.559,0.02,
V164 Sgr,2.189,0.03,1.972,0.033,1.831,0.01,1.666,0.017,
KIC 9246715,2.1869,0.003,2.1598,0.0032,8.49,0.1,8.2,0.09,
FT Ori,2.182,0.02,1.783,0.02,1.86,0.01,1.616,0.013,
V88 Aql,2.17,0,2.13,0.02,1.87,0,1.85,0.04,
EE Peg,2.151,0.02,1.332,0.011,2.09,0.02,1.312,0.013,
V33 Ser,2.147,0.01,1.906,0.008,2.03,0,1.73,0.04,
V59 Pup,2.101,0.02,2.099,0.019,2.167,0.02,2.167,0.02,
TZ For,2.057,0,1.958,0.001,8.34,0.1,3.97,0.08,
TV Nor,2.053,0.02,1.665,0.018,1.839,0.01,1.55,0.014,
OGLE-BLG-ECL-123903,2.045,0.02,2.074,0.023,9.54,0.04,9.052,0.06,
EK Cep,2.029,0.02,1.124,0.012,1.579,0,1.315,0.006,
V45 Cas,2.02,0,1.96,0.03,2.009,0.01,1.965,0.013,
V88 Cyg,2.005,0.02,2.234,0.026,2.345,0.01,3.385,0.026,
VV Crv,1.978,0.01,1.513,0.008,3.375,0.01,1.65,0.008,
KW Hya,1.975,0.02,1.487,0.013,2.124,0.01,1.439,0.022,
V236 Oph,1.965,0.01,1.056,0.01,2.19,0,0.934,0.004,
WW Aur,1.964,0,1.814,0.007,1.927,0.01,1.841,0.011,
V78 Cen,1.9621,0.007,1.5463,0.0034,2.733,0.01,1.642,0.011,
AI Hya,1.95,0.03,2.096,0.035,2.754,0.01,3.863,0.021,
RR Lyn,1.9394,0.006,1.51,0.0033,2.564,0.01,1.613,0.013,
V36 Pav,1.936,0.01,0.8767,0.0051,2.1931,0.009,0.8428,0.0056,
WW Cam,1.92,0.01,1.873,0.018,1.911,0.01,1.808,0.014,
AY Cam,1.901,0.04,1.705,0.036,2.771,0.02,2.025,0.015,
V39 Car,1.9,0.02,1.853,0.024,1.625,0.03,1.601,0.031,
KIC 3858884,1.88,0,1.86,0.04,3.45,0,3.05,0.01,
KIC 4076952,1.86,0,1.37,0.02,3.078,0.01,1.451,0.008,
V45 Cyg,1.859,0.04,1.576,0.037,1.588,0.01,1.507,0.016,
RS Cha,1.858,0.01,1.821,0.018,2.137,0.05,2.338,0.055,
OGLE SMC130. 4296,1.854,0.02,1.805,0.027,25.44,0.2,46,0.35,
OGLE-LMC-ECL-12669,1.843,0.02,1.962,0.03,24.17,0.3,23.36,0.3,
HY Vir,1.838,0,1.404,0.006,2.806,0,1.519,0.008,
OGLE-LMC-ECL-12875,1.831,0.02,1.858,0.023,15.62,0.1,40.82,0.32,
MY Cyg,1.82,0,1.8,0.03,2.22,0,2.28,0.02,
GW Eri,1.7936,0.005,1.7768,0.0054,1.828,0.01,1.796,0.015,
OGLE-LMC-ECL-03160,1.792,0.01,1.802,0.018,17.03,0.2,37.42,0.24,
IM Per,1.7831,0.009,1.7741,0.0097,2.409,0.01,2.366,0.017,
XY Cet,1.773,0.01,1.615,0.014,1.873,0.03,1.773,0.029,
EI Cep,1.772,0,1.68,0.006,2.896,0.04,2.329,0.044,
V57 Per,1.76,0,1.39,0.03,1.68,0,1.29,0.04,
KIC 9851944,1.749,0.01,1.866,0.01,2.533,0.02,2.981,0.044,
KIC 10031808,1.741,0,1.798,0.013,2.59,0.02,3.027,0.014,
OGLE-SMC-ECL-0019,1.73,0,1.69,0.03,16.8,0,18.8,0.6,
HW CMa,1.721,0.01,1.781,0.012,1.643,0.01,1.662,0.021,
BD +3 410,1.717,0.01,1.175,0.005,2.899,0.01,1.186,0.005,
ASAS J060505+2032.1,1.716,0.02,1.697,0.028,2.048,0.01,2.008,0.011,
DS And,1.692,0.01,1.184,0.003,2.185,0,1.2,0.006,
EPIC 211982753,1.69,0,1.59,0.02,1.66,0,1.53,0.02,
BD +4 378,1.69,0,0.8,0.02,2,0,0.78,0.01,
KIC 2557430,1.69,0,1.35,0.02,1.88,0,1.23,0.03,
OGLE SMC126. 210,1.674,0.03,1.669,0.039,43.52,1,39,0.98,
KIC 9850387,1.66,0,1.062,0.004,2.154,0,1.081,0.003,
CoRoT 102918586,1.66,0,1.49,0.03,1.64,0,1.48,0.01,
V50 Mon,1.6455,0.004,1.4588,0.0025,1.888,0.02,1.592,0.028,
FS Mon,1.632,0.01,1.462,0.01,2.051,0.01,1.629,0.012,
V102 Cas,1.626,0,1.607,0.001,2.57,0.02,2.445,0.022,
KIC 9777062,1.603,0.01,1.419,0.009,1.744,0,1.544,0.003,
IO Aqr,1.569,0,1.655,0.004,2.191,0.01,2.493,0.017,
CW Eri,1.568,0.01,1.314,0.01,2.1048,0.007,1.4812,0.0052,
PV Pup,1.565,0.01,1.554,0.013,1.542,0.01,1.499,0.018,
V44 Cyg,1.564,0.02,1.41,0.023,2.072,0.03,1.662,0.033,
ZZ Boo,1.5572,0.008,1.599,0.012,2.0626,0.005,2.205,0.0062,
BT Vul,1.5439,0.009,1.2196,0.008,1.536,0.01,1.151,0.029,
KIC 11285625,1.543,0.01,1.2,0.016,2.123,0.01,1.472,0.014,
HD 32129,1.5388,0.003,1.0687,0.002,1.8726,0.005,0.9875,0.0049,
HIP 7666,1.53,0,1.23,0.03,2.08,0,1.06,0.02,
EY Cep,1.523,0,1.498,0.014,1.463,0,1.468,0.01,
RZ Cha,1.518,0.02,1.509,0.027,2.264,0.01,2.264,0.017,
OGLE-LMC-ECL-12933,1.516,0.01,1.514,0.017,17.32,0.2,36.41,0.31,
KIC 5640750,1.515,0.03,1.292,0.017,14.06,0.1,1.853,0.023,
KIC 6778289,1.512,0.02,1.092,0.019,1.748,0,0.998,0.005,
EPIC 219552514,1.509,0.05,0.649,0.015,2.505,0.02,0.652,0.013,
HD 71636,1.506,0,1.282,0.002,1.583,0.02,1.314,0.03,
HD 187669,1.504,0,1.505,0.004,11.33,0.2,22.62,0.5,
GX Gem,1.488,0.01,1.467,0.01,2.327,0.01,2.238,0.012,
NGC 250 V4,1.478,0,1.25,0.01,2.3,0.01,1.534,0.019,
