Ausonia,2.009E-07,3.349E-08,-3.349E-08,7.291E-03,2.352E-04,-2.352E-04,Asteroid,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,,
Vesta,4.335E-05,1.673E-10,-1.673E-10,4.106E-02,2.989E-03,-2.989E-03,Asteroid,Russell2012 10.1126/science.1219381 https://www.science.org/doi/10.1126/science.1219381 ,,,,,,
Didymos,8.757E-14,8.707E-15,-8.707E-15,6.121E-05,2.352E-05,-2.352E-05,Asteroid,Nakano2022 10.3847/PSJ/ac7566 https://iopscience.iop.org/article/10.3847/PSJ/ac7566/meta,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000775,,,,,
Bennu,1.307E-14,1.507E-15,-1.507E-15,3.861E-05,1.568E-06,-1.568E-06,Asteroid,Lauretta2019 10.1038/s41586-019-1033-6 https://www.nature.com/articles/s41586-019-1033-6#citeas ,,,,,,
Pax,1.196E-07,3.332E-08,-3.332E-08,5.086E-03,2.854E-04,-2.854E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000806,,,,,,
Panopaea,7.251E-07,1.825E-07,-1.825E-07,1.046E-02,5.942E-04,-5.942E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000805,,,,,,
Artemis,2.562E-07,9.042E-08,-9.042E-08,9.337E-03,5.315E-04,-5.315E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000804,,,,,,
Phocaea,1.003E-07,1.005E-08,-1.005E-08,6.286E-03,3.653E-04,-3.653E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000803,,,,,,
Patroclus,2.277E-07,1.842E-08,-1.842E-08,1.122E-02,6.562E-04,-6.562E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000802,,,,,,
Kreusa,4.153E-07,1.909E-07,-1.909E-07,1.272E-02,7.479E-04,-7.479E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000801,,,,,,
Nuwa,2.713E-07,3.349E-08,-3.349E-08,1.149E-02,7.173E-04,-7.173E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000800,,,,,,
Thia,2.311E-07,2.344E-08,-2.344E-08,9.575E-03,6.029E-04,-6.029E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000799,,,,,,
Massalia,8.372E-07,1.741E-07,-1.741E-07,1.074E-02,6.914E-04,-6.914E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000798,,,,,,
Huenna,6.413E-08,3.349E-09,-3.349E-09,6.842E-03,4.468E-04,-4.468E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000797,,,,,,
Dagmar,6.664E-09,1.340E-09,-1.340E-09,3.370E-03,2.242E-04,-2.242E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000796,,,,,,
Hektor,1.666E-06,2.009E-08,-2.009E-08,1.777E-02,1.188E-03,-1.188E-03,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000795,,,,,,
Pretoria,7.669E-07,4.689E-08,-4.689E-08,1.262E-02,8.749E-04,-8.749E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000794,,,,,,
Daphne,1.021E-06,1.507E-07,-1.507E-07,1.466E-02,1.019E-03,-1.019E-03,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000793,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Cybele,2.277E-06,5.191E-07,-5.191E-07,1.946E-02,1.379E-03,-1.379E-03,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000792,,,,,,
Chloris,1.045E-06,5.023E-08,-5.023E-08,9.058E-03,6.444E-04,-6.444E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000791,,,,,,
Melete,7.719E-07,1.674E-10,-1.674E-10,8.908E-03,6.483E-04,-6.483E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000790,,,,,,
Diotima,1.157E-06,3.232E-07,-3.232E-07,1.659E-02,1.256E-03,-1.256E-03,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000789,,,,,,
Emma,2.311E-07,5.023E-09,-5.023E-09,1.041E-02,7.941E-04,-7.941E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000788,,,,,,
2001 SN263,1.535E-12,3.349E-15,-3.349E-15,2.030E-04,1.568E-05,-1.568E-05,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000787,,,,,,
Bruchsalia,1.993E-07,2.009E-08,-2.009E-08,6.909E-03,5.401E-04,-5.401E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000786,,,,,,
2004 DC,5.978E-15,6.028E-16,-6.028E-16,2.665E-05,2.352E-06,-2.352E-06,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000785,,,,,,
1994 CC,4.337E-14,2.177E-15,-2.177E-15,4.860E-05,4.704E-06,-4.704E-06,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000784,,,,,,
Sekhmet,1.741E-13,5.861E-14,-5.861E-14,7.839E-05,7.839E-06,-7.839E-06,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000783,,,,,,
2002 CE26,3.265E-12,4.186E-13,-4.186E-13,2.712E-04,2.744E-05,-2.744E-05,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000781,,,,,,
Thetis,2.227E-07,2.009E-08,-2.009E-08,6.488E-03,6.891E-04,-6.891E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000780,,,,,,
Bellona,4.387E-07,2.512E-08,-2.512E-08,8.474E-03,9.008E-04,-9.008E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000779,,,,,,
Dembowska,5.995E-07,1.725E-07,-1.725E-07,1.139E-02,1.349E-03,-1.349E-03,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000775,,,,,,
Pallas,3.420E-05,4.520E-07,-4.520E-07,4.010E-02,6.278E-04,-6.278E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Hygiea,1.463E-05,1.155E-06,-1.155E-06,3.394E-02,6.272E-04,-6.272E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Interamnia,5.894E-06,8.540E-07,-8.540E-07,2.603E-02,3.920E-04,-3.920E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Eunomia,5.107E-06,3.182E-07,-3.182E-07,2.117E-02,2.352E-04,-2.352E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Juno,4.521E-06,4.019E-07,-4.019E-07,1.991E-02,1.568E-04,-1.568E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Sylvia,2.395E-06,8.372E-08,-8.372E-08,2.148E-02,3.136E-04,-3.136E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Hebe,2.076E-06,4.019E-07,-4.019E-07,1.529E-02,2.352E-04,-2.352E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Aspasia,1.976E-06,3.851E-07,-3.851E-07,1.382E-02,3.528E-04,-3.528E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,,,,,,
Herculina,1.926E-06,4.689E-07,-4.689E-07,1.705E-02,3.998E-04,-3.998E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,,,,,,
Camilla,1.875E-06,5.023E-08,-5.023E-08,1.652E-02,6.969E-04,-6.969E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,,,,,,
Patientia,1.825E-06,8.875E-07,-8.875E-07,1.838E-02,7.973E-04,-7.973E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,,,,,,
Gyptis,1.775E-06,4.689E-07,-4.689E-07,1.291E-02,2.038E-04,-2.038E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,,,,,,
Bamberga,1.708E-06,1.507E-07,-1.507E-07,1.780E-02,2.352E-04,-2.352E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Fortuna,1.474E-06,2.344E-07,-2.344E-07,1.654E-02,1.568E-04,-1.568E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,Vernazza2021 10.1051/0004-6361/202141781 https://www.aanda.org/articles/aa/abs/2021/10/aa41781-21/aa41781-21.html ,,,,,
Siegena,1.363E-06,2.646E-07,-2.646E-07,1.335E-02,6.585E-04,-6.585E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,,,,,,
Aletheia,1.304E-06,7.200E-08,-7.200E-08,1.490E-02,5.347E-04,-5.347E-04,Asteroid,Carry2012 10.1016/j.pss.2012.03.009 https://www.sciencedirect.com/science/article/pii/S0032063312000773 ,,,,,,
