T10,1516003982_1,Null,28,5,-10.529521,192.398849,65.57605,37.62479,149.6387341216435,21.166538,0.0,36.185078,0.121783,0.108753,0.093051,0.059384,0.047171,0.014481,0.015882,0.01032,
T10,1516004476_1,Null,22,17,-10.414755,192.274765,65.337852,37.216152,149.52734326091849,20.141102,0.0,36.2906,0.127916,0.108598,0.092258,0.058798,0.046111,0.01514,0.016188,0.0129,
T10,1516011216_1,Null,25,11,-10.553864,192.440201,63.824814,33.443958,146.51435089327936,19.872105,0.0,38.685333,0.129513,0.110139,0.092624,0.057381,0.048189,0.014962,0.018157,0.018045,
T35,1567239348_1,Null,44,41,-10.534797,192.12439,19.379852,21.035927,86.49195375245532,11.975774,0.0,29.169367,0.195128,0.160905,0.151629,0.089602,0.083901,0.02037,0.023589,0.039987,
T35,1567239348_1,Null,45,41,-10.724927,192.314346,19.560242,21.241863,87.59771498304288,11.994372,0.0,29.169004,0.202032,0.162106,0.153168,0.089602,0.079808,0.022916,0.025948,0.039987,
T35,1567239516_1,Null,31,30,-10.364105,192.103668,19.282021,19.768553,84.11602424877573,12.679633,0.0,28.737991,0.195515,0.161002,0.145553,0.085952,0.073535,0.020587,0.022781,0.022452,
T35,1567239516_1,Null,32,29,-10.76193,192.094193,19.260605,20.22913,85.3352319955367,12.69811,0.0,28.774395,0.200338,0.165317,0.152295,0.090728,0.07997,0.022874,0.0249,0.031433,
T35,1567239516_1,Null,32,30,-10.57268,192.29686,19.463383,19.986042,85.3454801614196,12.69954,0.0,28.73764,0.200338,0.164373,0.150739,0.089704,0.078131,0.022303,0.023311,0.026943,
T35,1567239516_1,Null,32,31,-10.354043,192.490555,19.660557,19.713148,85.26739222623542,12.717468,0.0,28.699682,0.199558,0.165317,0.152122,0.089704,0.07905,0.021731,0.023311,0.022452,
T35,1567239516_1,Null,33,30,-10.78171,192.490356,19.647047,20.206446,86.55141394531192,12.719962,0.0,28.737318,0.202486,0.16761,0.155752,0.09482,0.085944,0.024018,0.02596,0.035923,
T35,1567240658_1,Null,42,44,-10.406261,192.24617,19.051226,16.67605,77.52722832377444,16.662327,0.0,27.718519,0.199026,0.160538,0.149854,0.08859,0.078168,0.021488,0.0234,0.029602,
T35,1567240658_1,Null,43,44,-10.708768,192.464218,19.254587,16.958273,79.35399061511691,16.690411,0.0,27.718542,0.201594,0.162316,0.153044,0.092188,0.083318,0.022242,0.024797,0.032562,
T35,1567241480_1,Null,42,45,-10.697956,192.080154,18.77437,16.444643,76.17116613581761,17.875391,0.0,27.589779,0.199099,0.161422,0.150755,0.088907,0.078387,0.022083,0.023869,0.028901,
T35,1567241480_1,Null,42,46,-10.426369,192.427567,19.124533,16.08255,76.43396869792515,17.901733,0.0,27.557945,0.197895,0.16012,0.150198,0.091102,0.078387,0.022083,0.023869,0.043351,
T35,1567241662_1,Null,38,33,-10.621751,192.253342,18.89695,16.081959,75.67541742154265,18.266401,0.0,27.516058,0.195753,0.164973,0.152804,0.089672,0.07992,0.022493,0.025225,0.027887,
T35,1567242636_1,Null,9,7,-10.548273,192.306458,18.731768,15.109434,72.0721235939415,20.759262,0.0,27.311403,0.192588,0.166195,0.150755,0.094395,0.085782,0.025764,0.025574,0.028901,
T35,1567242818_1,Null,18,3,-10.815676,192.521149,18.890963,15.17558,73.29710289185417,21.072266,0.0,27.279226,0.196535,0.165327,0.152423,0.093297,0.090219,0.025764,0.028983,0.043351,
T35,1567243182_1,Null,37,5,-10.664313,192.385376,18.666553,14.775124,70.78614128666118,22.150824,0.0,27.225994,0.195811,0.160988,0.149086,0.088907,0.078387,0.020243,0.023869,0.01445,
T38,1575510641_1,Null,38,42,-10.817407,192.097015,21.194357,25.788067,40.36934978546471,12.904472,0.0,43.972427,0.189517,0.152431,0.149543,0.084752,0.078249,0.021051,0.021128,0.034438,
