CM_1477467367_1,Ta,Lo,
CM_1477473027_6,Ta,Lo,
CM_1477473988_1,Ta,Lo,
CM_1477474917_1,Ta,Lo,
CM_1481599708_1,Tb,Lo,
CM_1481611895_1,Tb,Lo,
CM_1481612621_1,Tb,Lo,
CM_1481614387_1,Tb,Lo,
CM_1487117013_1,T3,Lo,
CM_1490961829_2,T4,Lo,
CM_1490967391_2,T4,Lo,
CM_1490967585_1,T4,Lo,
CM_1491002149_1,T4,Lo,
CM_1491009137_1,T4,Lo,
CM_1491009733_1,T4,Lo,
CM_1491009935_1,T4,Lo,
CM_1491010336_1,T4,Lo,
CM_1492336501_1,T5,Lo,
CM_1492339372_1,T5,Lo,
CM_1492340963_1,T5,Lo,
CM_1492342411_1,T5,Lo,
CM_1492344366_1,T5,Lo,
CM_1492345550_1,T5,Lo,
CM_1492346729_1,T5,Lo,
CM_1503377587_1,T6,Lo,
CM_1503377858_1,T6,Lo,
CM_1503378129_1,T6,Lo,
CM_1509148649_1,T8,Lo,
CM_1509149009_1,T8,Lo,
CM_1514298476_1,T9,Lo,
CM_1515982370_1,T10,Lo,
CM_1515989034_1,T10,Lo,
CM_1515991291_1,T10,Lo,
CM_1515991971_1,T10,Lo,
CM_1515995356_1,T10,Lo,
CM_1515997693_1,T10,Lo,
CM_1516002494_1,T10,Lo,
CM_1525116016_1,T13,Hi,
CM_1526784930_1,T14,Lo,
CM_1530489213_1,T15,Lo,
CM_1530489797_1,T15,Lo,
CM_1530490377_1,T15,Lo,
CM_1530543176_1,T15,Lo,
CM_1536369631_1,T17,Lo,
CM_1536370886_1,T17,Lo,
CM_1536371309_1,T17,Lo,
CM_1537762340_1,T18,Lo,
CM_1537762688_1,T18,Lo,
CM_1537763048_1,T18,Lo,
CM_1537763223_1,T18,Lo,
CM_1539143352_1,T19,Lo,
CM_1539143713_1,T19,Lo,
CM_1548737465_1,T24,Lo,
CM_1548738506_1,T24,Med,
CM_1548739546_1,T24,Med,
CM_1548747455_1,T24,Ex,
CM_1548747630_1,T24,Ex,
CM_1548747805_1,T24,Ex,
CM_1552196348_1,T26,Lo,
CM_1552200176_1,T26,Med,
CM_1552200323_1,T26,Med,
CM_1552200471_1,T26,Med,
CM_1552200618_1,T26,Med,
CM_1552200765_1,T26,Med,
CM_1552200912_1,T26,Med,
CM_1552201059_1,T26,Med,
CM_1552201223_1,T26,Med,
CM_1552201370_1,T26,Med,
CM_1552201518_1,T26,Lo,
CM_1552201665_1,T26,Lo,
CM_1552201812_1,T26,Lo,
CM_1552201959_1,T26,Lo,
CM_1552202106_1,T26,Lo,
CM_1552208479_1,T26,Lo,
CM_1552208784_1,T26,Lo,
CM_1552209089_1,T26,Lo,
CM_1552209394_1,T26,Lo,
CM_1552209699_1,T26,Lo,
CM_1552215993_1,T26,Lo,
CM_1554943689_1,T28,Med,
CM_1554943801_1,T28,Med,
CM_1554944126_1,T28,Med,
CM_1554944257_1,T28,Med,
CM_1554944574_1,T28,Med,
CM_1554949303_1,T28,Lo,
CM_1554949633_1,T28,Lo,
CM_1554949685_1,T28,Lo,
CM_1554950012_1,T28,Lo,
CM_1554950067_1,T28,Lo,
CM_1554950386_1,T28,Lo,
